location,city,surface,is_MDR,n_resistant,imipenem_cls,ceftazidime_cls,gentamicin_cls,augmentin_cls,ciprofloxacin_cls
IFE-T,IFE,T,False,0,0,0,0,1,0
IFE-T,IFE,T,False,0,0,0,0,0,0
IFE-T,IFE,T,False,1,0,2,0,0,0
IFE-T,IFE,T,False,0,0,0,0,0,0
IFE-T,IFE,T,False,1,0,2,0,0,0
IFE-T,IFE,T,False,1,0,2,0,1,0
IFE-T,IFE,T,False,2,0,2,0,2,0
IFE-T,IFE,T,False,0,0,0,0,0,0
IFE-T,IFE,T,True,3,0,2,2,2,0
IFE-T,IFE,T,True,3,0,2,2,2,0
IFE-T,IFE,T,False,0,0,0,0,0,0
IFE-T,IFE,T,False,0,0,0,0,0,0
IFE-T,IFE,T,True,4,0,2,2,2,2
IFE-T,IFE,T,False,1,0,2,0,0,1
IFE-T,IFE,T,False,0,0,1,0,0,1
IFE-T,IFE,T,False,0,0,0,0,0,0
IFE-T,IFE,T,False,1,0,0,0,0,2
IFE-T,IFE,T,True,3,0,0,2,2,2
IFE-T,IFE,T,False,0,0,0,1,0,0
IFE-T,IFE,T,False,1,0,0,0,2,0
IFE-T,IFE,T,False,0,0,1,0,1,0
IFE-T,IFE,T,False,1,0,0,2,0,0
IFE-T,IFE,T,False,1,0,0,0,2,0
IFE-T,IFE,T,False,0,0,0,0,0,1
IFE-T,IFE,T,True,3,0,2,0,2,2
IFE-T,IFE,T,False,2,0,1,0,2,2
IFE-T,IFE,T,False,0,0,1,0,0,1
IFE-T,IFE,T,False,2,0,2,0,2,0
IFE-T,IFE,T,False,1,0,0,0,2,0
IFE-T,IFE,T,True,4,0,2,2,2,2
IFE-T,IFE,T,False,0,0,0,0,1,0
IFE-C,IFE,C,False,1,0,2,0,0,0
IFE-C,IFE,C,False,1,0,2,0,0,0
IFE-C,IFE,C,False,2,0,2,2,1,0
IFE-C,IFE,C,False,2,0,2,0,2,1
IFE-C,IFE,C,False,1,0,2,0,0,0
IFE-C,IFE,C,False,2,0,2,0,2,0
IFE-C,IFE,C,False,1,0,2,0,0,0
IFE-C,IFE,C,True,3,0,2,0,2,2
IFE-C,IFE,C,True,3,0,2,0,2,2
IFE-C,IFE,C,False,2,0,2,0,2,0
IFE-C,IFE,C,False,2,0,0,2,2,1
IFE-C,IFE,C,True,3,0,2,2,2,0
IFE-C,IFE,C,True,3,0,2,2,2,1
IFE-C,IFE,C,False,1,0,2,0,1,0
IFE-C,IFE,C,False,2,0,2,0,2,0
IFE-C,IFE,C,False,2,1,2,0,2,0
IFE-C,IFE,C,False,2,0,2,2,0,0
IFE-C,IFE,C,False,2,0,2,0,2,0
IFE-S,IFE,S,False,2,0,2,0,2,0
IFE-S,IFE,S,True,3,1,2,2,2,0
IFE-S,IFE,S,False,1,0,2,0,0,0
IFE-S,IFE,S,False,2,0,2,0,2,0
IFE-S,IFE,S,False,1,0,2,0,0,0
IFE-S,IFE,S,False,1,0,2,0,1,1
IFE-S,IFE,S,False,1,0,2,0,0,1
IFE-S,IFE,S,False,1,0,2,0,0,0
IFE-S,IFE,S,False,1,0,0,0,2,0
IFE-S,IFE,S,False,2,0,2,0,1,2
IFE-S,IFE,S,True,3,0,2,2,1,2
IFE-S,IFE,S,False,1,0,0,0,1,2
IFE-S,IFE,S,False,1,0,2,0,0,0
IFE-S,IFE,S,False,1,0,2,0,1,1
IFE-S,IFE,S,False,1,0,2,0,1,0
IFE-S,IFE,S,False,0,0,0,0,1,0
IFE-S,IFE,S,False,0,0,0,0,0,0
IFE-S,IFE,S,False,2,0,2,0,2,1
IFE-S,IFE,S,False,1,0,2,0,0,1
IFE-S,IFE,S,True,3,0,2,0,2,2
IFE-S,IFE,S,False,1,0,2,0,0,0
IFE-S,IFE,S,False,0,0,0,0,0,1
IFE-S,IFE,S,False,0,0,0,0,0,0
IFE-S,IFE,S,False,1,0,2,0,1,0
OSU-T,OSU,T,False,2,0,2,0,2,0
OSU-T,OSU,T,False,2,0,0,2,2,0
OSU-T,OSU,T,False,2,0,2,0,2,0
OSU-T,OSU,T,False,2,0,2,0,2,1
OSU-T,OSU,T,False,2,0,2,0,2,1
OSU-T,OSU,T,True,3,0,2,0,2,2
OSU-T,OSU,T,False,1,0,0,1,2,0
OSU-T,OSU,T,True,3,0,2,0,2,2
OSU-T,OSU,T,False,1,0,0,0,2,0
OSU-T,OSU,T,False,2,0,2,0,2,0
OSU-T,OSU,T,False,2,0,2,0,2,0
OSU-T,OSU,T,True,3,0,2,2,2,0
OSU-T,OSU,T,False,2,0,1,2,2,1
OSU-T,OSU,T,False,1,0,0,0,2,1
OSU-T,OSU,T,False,1,0,0,0,2,1
OSU-T,OSU,T,True,4,0,2,2,2,2
OSU-T,OSU,T,True,3,0,2,2,2,1
OSU-T,OSU,T,False,2,0,2,0,2,0
OSU-T,OSU,T,True,3,0,2,0,2,2
OSU-T,OSU,T,False,2,0,2,0,2,1
OSU-T,OSU,T,True,3,0,2,0,2,2
OSU-T,OSU,T,True,3,0,2,0,2,2
OSU-T,OSU,T,False,2,0,2,0,2,1
OSU-C,OSU,C,True,3,0,2,0,2,2
OSU-C,OSU,C,False,2,0,2,1,2,1
OSU-C,OSU,C,True,3,0,2,2,2,1
OSU-C,OSU,C,True,3,0,2,0,2,2
OSU-C,OSU,C,False,2,0,2,0,2,1
OSU-C,OSU,C,False,2,0,1,0,2,2
OSU-C,OSU,C,False,2,0,2,0,2,0
OSU-C,OSU,C,False,1,0,2,0,1,0
OSU-C,OSU,C,True,3,1,2,2,2,0
OSU-C,OSU,C,False,2,0,2,0,2,1
OSU-C,OSU,C,True,3,0,2,0,2,2
OSU-C,OSU,C,False,2,0,2,0,2,1
OSU-C,OSU,C,False,2,0,2,0,2,0
OSU-C,OSU,C,False,2,0,2,0,2,1
OSU-C,OSU,C,False,2,0,2,0,2,0
OSU-C,OSU,C,False,2,0,0,2,2,1
OSU-C,OSU,C,False,2,0,2,0,2,0
OSU-C,OSU,C,False,2,0,2,0,2,1
OSU-C,OSU,C,False,1,0,2,0,0,1
OSU-C,OSU,C,False,2,0,2,0,2,1
OSU-C,OSU,C,False,1,0,2,0,0,0
OSU-C,OSU,C,False,2,0,2,0,2,0
OSU-C,OSU,C,False,2,0,2,0,2,0
OSU-S,OSU,S,False,0,0,0,0,1,0
OSU-S,OSU,S,False,2,0,2,0,2,1
OSU-S,OSU,S,False,2,2,1,0,2,1
OSU-S,OSU,S,False,2,0,2,0,2,0
OSU-S,OSU,S,False,0,0,0,0,1,0
OSU-S,OSU,S,False,0,0,0,0,0,0
OSU-S,OSU,S,False,2,0,0,0,2,2
OSU-S,OSU,S,False,1,0,2,0,0,0
OSU-S,OSU,S,False,1,0,2,0,1,0
OSU-S,OSU,S,False,1,0,2,0,0,0
OSU-S,OSU,S,False,1,0,2,0,0,1
OSU-S,OSU,S,False,1,0,2,0,1,0
OSU-S,OSU,S,False,1,0,2,0,1,1
OSU-S,OSU,S,False,1,0,2,0,1,1
OSU-S,OSU,S,False,1,0,2,0,1,0
OSU-S,OSU,S,False,1,0,2,0,0,1
OSU-S,OSU,S,False,1,0,2,0,0,0
OSU-S,OSU,S,False,1,0,2,0,1,1
OSU-S,OSU,S,False,2,0,2,0,2,1
OSU-S,OSU,S,False,1,0,2,0,0,0
OSU-S,OSU,S,False,2,0,2,0,2,1
OSU-S,OSU,S,False,2,0,2,0,2,1
OSU-S,OSU,S,False,2,0,2,0,0,2
IWO-T,IWO,T,False,2,0,0,0,2,2
IWO-T,IWO,T,False,1,0,2,1,0,0
IWO-T,IWO,T,True,3,0,2,2,2,1
IWO-T,IWO,T,False,2,0,1,0,2,2
IWO-T,IWO,T,False,2,0,2,1,1,2
IWO-T,IWO,T,False,2,0,2,1,1,2
IWO-T,IWO,T,True,4,0,2,2,2,2
IWO-T,IWO,T,True,4,0,2,2,2,2
IWO-T,IWO,T,True,4,0,2,2,2,2
IWO-T,IWO,T,False,0,0,0,0,0,0
IWO-T,IWO,T,False,2,0,2,0,2,0
IWO-T,IWO,T,True,3,0,2,2,2,1
IWO-T,IWO,T,True,4,0,2,2,2,2
IWO-T,IWO,T,True,4,2,2,1,2,2
IWO-T,IWO,T,False,1,0,2,0,1,0
IWO-T,IWO,T,False,2,0,2,0,2,0
IWO-T,IWO,T,False,1,0,2,0,0,0
IWO-T,IWO,T,False,1,0,1,0,2,0
IWO-T,IWO,T,False,1,0,0,2,1,0
IWO-T,IWO,T,True,4,0,2,2,2,2
IWO-T,IWO,T,False,1,0,0,0,2,0
IWO-T,IWO,T,True,3,0,2,1,2,2
IWO-T,IWO,T,False,1,0,0,0,2,0
IWO-T,IWO,T,True,3,0,2,0,2,2
IWO-T,IWO,T,False,1,0,0,1,2,1
IWO-T,IWO,T,False,0,0,0,0,1,0
IWO-T,IWO,T,False,1,0,0,0,2,0
IWO-C,IWO,C,True,3,0,2,2,1,2
IWO-C,IWO,C,False,1,0,2,0,1,0
IWO-C,IWO,C,False,0,0,0,0,0,1
IWO-C,IWO,C,True,3,0,2,2,1,2
IWO-C,IWO,C,False,1,0,2,0,0,0
IWO-C,IWO,C,False,2,0,2,0,2,1
IWO-C,IWO,C,False,2,0,0,0,2,2
IWO-C,IWO,C,False,0,0,1,0,0,0
IWO-C,IWO,C,False,2,0,2,0,2,1
IWO-C,IWO,C,False,2,0,2,0,2,0
IWO-C,IWO,C,False,2,0,2,0,2,0
IWO-C,IWO,C,False,2,0,2,0,2,0
IWO-C,IWO,C,True,4,0,2,2,2,2
IWO-C,IWO,C,False,2,0,2,0,2,1
IWO-C,IWO,C,False,1,0,2,0,0,0
IWO-C,IWO,C,False,0,0,1,1,1,0
IWO-C,IWO,C,False,1,0,2,0,0,0
IWO-C,IWO,C,True,4,0,2,2,2,2
IWO-C,IWO,C,False,1,0,2,0,1,0
IWO-C,IWO,C,True,4,1,2,2,2,2
IWO-S,IWO,S,False,1,0,1,0,2,0
IWO-S,IWO,S,True,4,0,2,2,2,2
IWO-S,IWO,S,True,4,0,2,2,2,2
IWO-S,IWO,S,True,4,0,2,2,2,2
IWO-S,IWO,S,True,3,0,2,0,2,2
IWO-S,IWO,S,False,2,0,2,0,2,0
IWO-S,IWO,S,False,2,0,2,0,2,0
IWO-S,IWO,S,False,2,0,2,0,1,2
IWO-S,IWO,S,False,0,0,0,0,0,0
IWO-S,IWO,S,False,1,0,2,0,0,0
IWO-S,IWO,S,False,1,0,2,0,1,0
IWO-S,IWO,S,True,3,0,2,0,2,2
IWO-S,IWO,S,False,2,0,2,0,2,0
IWO-S,IWO,S,True,3,0,2,0,2,2
IWO-S,IWO,S,False,2,0,2,0,2,0
IWO-S,IWO,S,False,2,0,2,0,2,1
IWO-S,IWO,S,False,2,0,2,0,2,0
IWO-S,IWO,S,True,3,0,2,0,2,2
IWO-S,IWO,S,True,4,0,2,2,2,2
IWO-S,IWO,S,True,3,0,2,0,2,2
IWO-S,IWO,S,False,2,0,2,0,2,0
IWO-S,IWO,S,True,3,0,2,2,1,2
EDE-T,EDE,T,False,1,0,0,0,2,0
EDE-T,EDE,T,False,0,0,0,0,0,1
EDE-T,EDE,T,False,1,0,2,0,0,1
EDE-T,EDE,T,False,2,0,2,0,2,1
EDE-T,EDE,T,False,1,0,0,0,0,2
EDE-T,EDE,T,True,3,0,2,0,2,2
EDE-T,EDE,T,False,1,0,2,0,0,1
EDE-T,EDE,T,False,1,0,2,0,1,0
EDE-T,EDE,T,False,2,0,2,0,2,1
EDE-T,EDE,T,False,1,0,2,0,1,0
EDE-T,EDE,T,True,3,0,2,0,2,2
EDE-T,EDE,T,False,0,0,0,0,0,0
EDE-T,EDE,T,False,0,0,0,0,0,0
EDE-T,EDE,T,False,1,0,2,0,0,1
EDE-T,EDE,T,False,0,0,0,0,0,0
EDE-T,EDE,T,False,0,0,1,0,0,0
EDE-T,EDE,T,False,0,0,0,0,0,0
EDE-T,EDE,T,True,4,0,2,2,2,2
EDE-T,EDE,T,False,0,0,1,0,0,0
EDE-T,EDE,T,False,1,0,1,0,2,0
EDE-T,EDE,T,False,1,0,2,0,1,0
EDE-C,EDE,C,True,3,0,2,2,2,1
EDE-C,EDE,C,False,2,0,0,2,2,1
EDE-C,EDE,C,False,2,0,2,0,2,1
EDE-C,EDE,C,False,1,0,0,0,2,0
